Process2,Time
1,2.041141
2,1.185612
3,0.966456
4,0.77909
5,1.330298
6,1.499879
7,1.176085
8,0.791956
9,1.248401
10,1.8265
11,0.972328
12,1.328972
13,1.239603
14,1.604451
15,2.264015
16,1.469597
17,1.036217
18,0.971946
19,1.645007
20,1.132041
21,0.682404
22,2.388241
23,1.790634
24,1.637372
25,3.32828
26,2.114616
27,1.494451
28,1.734746
29,1.472331
30,3.732008
31,2.177297
32,1.941957
33,1.983675
34,1.61155
35,2.454844
36,1.377368
37,1.604202
38,2.025099
39,1.350747
40,1.787626
41,1.515205
42,1.984726
43,1.719208
44,1.137204
45,0.926894
46,2.422171
47,1.28691
48,0.79731
49,1.372114
50,1.394187
51,1.68208
52,2.352875
53,0.967728
54,2.183149
55,18.187455
56,2.147461
57,1.768182
58,1.554448
59,1.868622
60,1.38077
61,1.625877
62,1.901684
63,1.770163
64,1.626918
65,1.823943
66,1.439151
67,1.936123
68,2.139447
69,1.2484
70,0.920487
71,0.845659
72,1.302393
73,1.226963
74,1.861459
75,1.438519
76,2.051632
77,2.331321
78,1.416718
79,0.761795
80,1.606312
81,1.523362
82,1.041319
83,0.972525
84,0.877312
85,1.342301
86,2.301801
87,1.599965
88,1.421801
89,0.832344
90,0.850055
91,0.868888
92,1.385451
93,1.471851
94,1.828264
95,1.281004
96,1.60012
97,1.785079
98,1.707018
99,1.761696
100,1.447494
101,1.052607
102,1.393686
103,1.183564
104,1.057075
105,0.986807
106,1.124059
107,1.083174
108,1.105738
109,1.011818
110,1.246808
111,1.115775
112,1.041128
113,1.994075
114,1.722421
115,1.774312
116,1.577621
117,1.381011
118,0.604503
119,0.84927
120,1.759878
121,1.551813
122,2.727008
123,1.88174
124,1.417516
125,0.8625
126,1.117101
127,1.970188
128,1.526705
129,1.042767
130,0.68448
131,0.877235
132,1.45587
133,1.036041
134,1.094969
135,0.967112
136,1.047196
137,1.098683
138,1.185272
139,3.158955
140,1.029769
141,1.386912
142,1.23059
143,1.379341
144,1.562221
145,1.032957
146,1.223504
147,1.01974
148,0.894432
149,1.130739
150,1.529798
151,2.983866
152,0.807304
153,0.895382
154,0.800676
155,0.98595
156,0.999667
157,1.521467
158,0.924523
159,0.802068
160,0.960057
161,1.216623
162,1.051297
163,1.062001
164,1.237823
165,0.868321
166,0.952624
167,0.879084
168,0.964014
169,1.443748
170,1.572619
171,1.427187
172,2.385546
173,1.239952
174,1.542185
175,2.019116
176,1.382525
177,1.856912
178,0.810226
179,1.342265
180,1.513455
181,1.22398
